N,c1,c2,c3,liar_caught
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,false
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,1,1,8,false
10,1,8,1,false
10,8,1,1,false
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
